event_id,arm,reward_type,reward_value,delay_minutes,occurred_at
evt_000001,simulador_credito,click,0.1,47.9,2026-01-01T00:53:17.757744+00:00
evt_000001,simulador_credito,journey_start,0.3,884.9,2026-01-01T14:50:17.757744+00:00
evt_000001,simulador_credito,conversion,1.0,9212.4,2026-01-07T09:37:47.757744+00:00
evt_000003,educacao_financeira,click,0.1,155.5,2026-01-01T02:54:55.171584+00:00
evt_000005,sem_oferta,click,0.1,44.2,2026-01-01T01:12:12.609157+00:00
evt_000005,sem_oferta,journey_start,0.3,699.8,2026-01-01T12:07:48.609157+00:00
evt_000005,sem_oferta,conversion,1.0,8908.7,2026-01-07T04:56:42.609157+00:00
evt_000008,oferta_deposito,click,0.1,62.6,2026-01-01T01:47:26.903390+00:00
evt_000011,oferta_deposito,click,0.1,93.1,2026-01-01T02:28:07.550282+00:00
evt_000011,oferta_deposito,journey_start,0.3,1095.6,2026-01-01T19:10:37.550282+00:00
evt_000011,oferta_deposito,conversion,1.0,6486.9,2026-01-05T13:01:55.550282+00:00
evt_000012,oferta_deposito,click,0.1,67.9,2026-01-01T02:04:48.627913+00:00
evt_000013,oferta_deposito,click,0.1,63.2,2026-01-01T02:11:04.163721+00:00
evt_000013,oferta_deposito,journey_start,0.3,1273.4,2026-01-01T22:21:16.163721+00:00
evt_000013,oferta_deposito,conversion,1.0,3352.6,2026-01-03T09:00:28.163721+00:00
evt_000014,educacao_financeira,click,0.1,111.1,2026-01-01T03:05:36.277912+00:00
evt_000014,educacao_financeira,journey_start,0.3,1216.2,2026-01-01T21:30:42.277912+00:00
evt_000015,sem_oferta,click,0.1,56.2,2026-01-01T02:16:05.792539+00:00
evt_000018,oferta_deposito,click,0.1,162.3,2026-01-01T04:19:52.235731+00:00
evt_000018,oferta_deposito,journey_start,0.3,1406.4,2026-01-02T01:03:58.235731+00:00
evt_000018,oferta_deposito,conversion,1.0,13934.8,2026-01-10T17:52:22.235731+00:00
evt_000020,simulador_credito,click,0.1,5.7,2026-01-01T01:49:43.908774+00:00
evt_000020,simulador_credito,journey_start,0.3,88.7,2026-01-01T03:12:43.908774+00:00
evt_000020,simulador_credito,conversion,1.0,9899.7,2026-01-07T22:43:43.908774+00:00
evt_000023,educacao_financeira,click,0.1,44.6,2026-01-01T02:37:32.413383+00:00
evt_000023,educacao_financeira,journey_start,0.3,1429.8,2026-01-02T01:42:44.413383+00:00
evt_000023,educacao_financeira,conversion,1.0,7914.6,2026-01-06T13:47:32.413383+00:00
evt_000024,simulador_credito,click,0.1,45.3,2026-01-01T02:38:53.042074+00:00
evt_000025,simulador_credito,click,0.1,130.4,2026-01-01T04:09:59.889180+00:00
evt_000025,simulador_credito,journey_start,0.3,936.5,2026-01-01T17:36:05.889180+00:00
evt_000031,sem_oferta,click,0.1,13.8,2026-01-01T02:38:49.120795+00:00
evt_000031,sem_oferta,journey_start,0.3,1228.9,2026-01-01T22:53:55.120795+00:00
evt_000032,simulador_credito,click,0.1,18.5,2026-01-01T02:43:45.045912+00:00
evt_000032,simulador_credito,journey_start,0.3,1410.8,2026-01-02T01:56:03.045912+00:00
evt_000034,oferta_deposito,click,0.1,125.3,2026-01-01T04:45:58.749775+00:00
evt_000035,simulador_credito,click,0.1,69.4,2026-01-01T03:51:04.374281+00:00
evt_000037,simulador_credito,click,0.1,16.1,2026-01-01T03:05:36.453833+00:00
evt_000037,simulador_credito,journey_start,0.3,635.0,2026-01-01T13:24:30.453833+00:00
evt_000042,oferta_deposito,click,0.1,69.2,2026-01-01T04:11:45.600724+00:00
evt_000042,oferta_deposito,journey_start,0.3,1001.9,2026-01-01T19:44:27.600724+00:00
evt_000045,oferta_deposito,click,0.1,14.5,2026-01-01T03:26:43.204172+00:00
evt_000045,oferta_deposito,journey_start,0.3,868.1,2026-01-01T17:40:19.204172+00:00
evt_000045,oferta_deposito,conversion,1.0,10746.6,2026-01-08T14:18:49.204172+00:00
evt_000046,sem_oferta,click,0.1,148.1,2026-01-01T05:42:45.804876+00:00
evt_000047,simulador_credito,click,0.1,133.9,2026-01-01T05:44:51.876483+00:00
evt_000047,simulador_credito,journey_start,0.3,935.7,2026-01-01T19:06:39.876483+00:00
evt_000047,simulador_credito,conversion,1.0,10413.5,2026-01-08T09:04:27.876483+00:00
evt_000048,simulador_credito,click,0.1,166.6,2026-01-01T06:31:56.704200+00:00
evt_000048,simulador_credito,journey_start,0.3,718.9,2026-01-01T15:44:14.704200+00:00
evt_000048,simulador_credito,conversion,1.0,8920.6,2026-01-07T08:25:56.704200+00:00
evt_000053,oferta_deposito,click,0.1,137.4,2026-01-01T06:14:29.922781+00:00
evt_000066,oferta_deposito,click,0.1,89.7,2026-01-01T06:58:39.313345+00:00
evt_000066,oferta_deposito,journey_start,0.3,529.1,2026-01-01T14:18:03.313345+00:00
evt_000066,oferta_deposito,conversion,1.0,14241.1,2026-01-11T02:50:03.313345+00:00
evt_000069,educacao_financeira,click,0.1,131.6,2026-01-01T07:55:01.581709+00:00
evt_000070,simulador_credito,click,0.1,156.2,2026-01-01T08:19:53.473995+00:00
evt_000074,educacao_financeira,click,0.1,165.5,2026-01-01T08:57:14.044830+00:00
evt_000074,educacao_financeira,journey_start,0.3,1100.1,2026-01-02T00:31:50.044830+00:00
evt_000077,simulador_credito,click,0.1,72.6,2026-01-01T07:33:47.615685+00:00
evt_000080,sem_oferta,click,0.1,25.1,2026-01-01T06:51:13.878458+00:00
evt_000088,sem_oferta,click,0.1,40.2,2026-01-01T07:59:35.133493+00:00
evt_000088,sem_oferta,journey_start,0.3,801.4,2026-01-01T20:40:47.133493+00:00
evt_000088,sem_oferta,conversion,1.0,2615.9,2026-01-03T02:55:17.133493+00:00
evt_000091,simulador_credito,click,0.1,136.4,2026-01-01T09:52:25.833193+00:00
