event_id,occurred_at,subject_key,segment,channel,age,job,month,poutcome,previous,base_propensity,available_arms,logging_policy,chosen_arm
evt_000000,2026-01-01T00:00:34.132898+00:00,sub_003676,novo,web,41,housemaid,may,nonexistent,0,0.0337,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,simulador_credito
evt_000001,2026-01-01T00:05:23.757744+00:00,sub_031877,novo,email,35,blue-collar,may,nonexistent,0,0.0872,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,simulador_credito
evt_000002,2026-01-01T00:08:32.717887+00:00,sub_026960,novo,app,32,blue-collar,nov,nonexistent,0,0.0445,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,oferta_deposito
evt_000003,2026-01-01T00:19:25.171584+00:00,sub_018076,novo,web,43,admin.,jul,nonexistent,0,0.0745,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,educacao_financeira
evt_000004,2026-01-01T00:24:40.178197+00:00,sub_017835,novo,email,57,admin.,jul,nonexistent,0,0.0434,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,oferta_deposito
evt_000005,2026-01-01T00:28:00.609157+00:00,sub_035363,recorrente,email,23,blue-collar,may,failure,1,0.0596,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,sem_oferta
evt_000006,2026-01-01T00:29:48.933768+00:00,sub_003539,novo,web,46,unemployed,may,nonexistent,0,0.0192,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,oferta_deposito
evt_000007,2026-01-01T00:29:51.735328+00:00,sub_028723,recorrente,app,41,self-employed,apr,failure,1,0.1419,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,sem_oferta
evt_000008,2026-01-01T00:44:50.903390+00:00,sub_008298,novo,app,25,admin.,jun,nonexistent,0,0.0408,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,oferta_deposito
evt_000009,2026-01-01T00:47:10.656618+00:00,sub_003878,novo,web,28,services,may,nonexistent,0,0.0327,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,sem_oferta
evt_000010,2026-01-01T00:49:16.891770+00:00,sub_021684,novo,web,33,admin.,aug,nonexistent,0,0.0594,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,oferta_deposito
evt_000011,2026-01-01T00:55:01.550282+00:00,sub_040183,reativado,app,29,admin.,jul,success,1,0.8057,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,oferta_deposito
evt_000012,2026-01-01T00:56:54.627913+00:00,sub_030304,novo,app,21,admin.,apr,nonexistent,0,0.2065,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,oferta_deposito
evt_000013,2026-01-01T01:07:52.163721+00:00,sub_031349,reativado,web,38,blue-collar,may,success,1,0.342,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,oferta_deposito
evt_000014,2026-01-01T01:14:30.277912+00:00,sub_029551,novo,email,35,blue-collar,apr,nonexistent,0,0.1535,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,educacao_financeira
evt_000015,2026-01-01T01:19:53.792539+00:00,sub_032376,novo,app,30,self-employed,may,nonexistent,0,0.0947,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,sem_oferta
evt_000016,2026-01-01T01:20:59.605687+00:00,sub_021138,novo,web,47,admin.,aug,nonexistent,0,0.0465,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,oferta_deposito
evt_000017,2026-01-01T01:32:28.862860+00:00,sub_005276,novo,app,43,admin.,may,nonexistent,0,0.0368,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,simulador_credito
evt_000018,2026-01-01T01:37:34.235731+00:00,sub_034587,novo,app,38,blue-collar,may,nonexistent,0,0.0852,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,oferta_deposito
evt_000019,2026-01-01T01:38:54.480802+00:00,sub_018550,novo,web,51,management,jul,nonexistent,0,0.0534,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,simulador_credito
evt_000020,2026-01-01T01:44:01.908774+00:00,sub_020608,novo,app,34,admin.,aug,nonexistent,0,0.0632,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,simulador_credito
evt_000021,2026-01-01T01:45:22.614810+00:00,sub_015272,novo,app,28,blue-collar,jul,nonexistent,0,0.0371,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,educacao_financeira
evt_000022,2026-01-01T01:46:20.165036+00:00,sub_007518,novo,email,28,services,may,nonexistent,0,0.0347,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,educacao_financeira
evt_000023,2026-01-01T01:52:56.413383+00:00,sub_038171,recorrente,app,51,technician,oct,failure,3,0.318,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,educacao_financeira
evt_000024,2026-01-01T01:53:35.042074+00:00,sub_032191,recorrente,app,31,self-employed,may,failure,1,0.0735,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,simulador_credito
evt_000025,2026-01-01T01:59:35.889180+00:00,sub_026519,recorrente,email,45,services,nov,failure,1,0.0338,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,simulador_credito
evt_000026,2026-01-01T02:02:15.195969+00:00,sub_016574,novo,web,53,entrepreneur,jul,nonexistent,0,0.0432,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,sem_oferta
evt_000027,2026-01-01T02:02:18.833160+00:00,sub_033887,novo,app,28,technician,may,nonexistent,0,0.1144,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,sem_oferta
evt_000028,2026-01-01T02:03:30.581624+00:00,sub_022465,novo,web,47,admin.,aug,nonexistent,0,0.0589,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,sem_oferta
evt_000029,2026-01-01T02:10:45.957758+00:00,sub_018263,novo,web,40,self-employed,jul,nonexistent,0,0.0702,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,simulador_credito
evt_000030,2026-01-01T02:11:19.774213+00:00,sub_018553,novo,app,38,services,jul,nonexistent,0,0.0624,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,simulador_credito
evt_000031,2026-01-01T02:25:01.120795+00:00,sub_009359,novo,web,36,blue-collar,jun,nonexistent,0,0.0323,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,sem_oferta
evt_000032,2026-01-01T02:25:15.045912+00:00,sub_003794,novo,web,48,technician,may,nonexistent,0,0.0357,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,simulador_credito
evt_000033,2026-01-01T02:37:25.238142+00:00,sub_022842,novo,app,56,technician,aug,nonexistent,0,0.0612,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,sem_oferta
evt_000034,2026-01-01T02:40:40.749775+00:00,sub_036570,recorrente,email,26,student,jun,failure,1,0.3395,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,oferta_deposito
evt_000035,2026-01-01T02:41:40.374281+00:00,sub_002628,novo,web,42,technician,may,nonexistent,0,0.0367,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,simulador_credito
evt_000036,2026-01-01T02:49:07.435858+00:00,sub_035351,recorrente,email,30,blue-collar,may,failure,1,0.0603,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,simulador_credito
evt_000037,2026-01-01T02:49:30.453833+00:00,sub_034088,reativado,app,31,admin.,may,success,1,0.3186,sem_oferta|educacao_financeira|simulador_credito|oferta_deposito,uniform_random,simulador_credito
